question,year,is_test
What is the 3rd year of the 33th president of the United States?,1947,False
What is the 4th year of the 33th president of the United States?,1948,False
What is the 5th year of the 33th president of the United States?,1949,False
What is the 6th year of the 33th president of the United States?,1950,False
What is the 7th year of the 33th president of the United States?,1951,True
What is the 8th year of the 33th president of the United States?,1952,True
What is the 9th year of the 33th president of the United States?,1953,False
What is the 1st year of the 34th president of the United States?,1953,False
What is the 2nd year of the 34th president of the United States?,1954,False
What is the 3rd year of the 34th president of the United States?,1955,False
What is the 4th year of the 34th president of the United States?,1956,False
What is the 5th year of the 34th president of the United States?,1957,False
What is the 6th year of the 34th president of the United States?,1958,False
What is the 7th year of the 34th president of the United States?,1959,False
What is the 8th year of the 34th president of the United States?,1960,False
What is the 9th year of the 34th president of the United States?,1961,False
What is the 1st year of the 35th president of the United States?,1961,True
What is the 2nd year of the 35th president of the United States?,1962,False
What is the 3rd year of the 35th president of the United States?,1963,False
What is the 1st year of the 36th president of the United States?,1963,False
What is the 2nd year of the 36th president of the United States?,1964,False
What is the 3rd year of the 36th president of the United States?,1965,False
What is the 4th year of the 36th president of the United States?,1966,False
What is the 5th year of the 36th president of the United States?,1967,False
What is the 6th year of the 36th president of the United States?,1968,True
What is the 7th year of the 36th president of the United States?,1969,False
What is the 1st year of the 37th president of the United States?,1969,True
What is the 2nd year of the 37th president of the United States?,1970,False
What is the 3rd year of the 37th president of the United States?,1971,False
What is the 4th year of the 37th president of the United States?,1972,False
What is the 5th year of the 37th president of the United States?,1973,False
What is the 6th year of the 37th president of the United States?,1974,False
What is the 1st year of the 38th president of the United States?,1974,False
What is the 2nd year of the 38th president of the United States?,1975,False
What is the 3rd year of the 38th president of the United States?,1976,False
What is the 4th year of the 38th president of the United States?,1977,False
What is the 1st year of the 39th president of the United States?,1977,False
What is the 2nd year of the 39th president of the United States?,1978,False
What is the 3rd year of the 39th president of the United States?,1979,False
What is the 4th year of the 39th president of the United States?,1980,True
What is the 5th year of the 39th president of the United States?,1981,False
What is the 1st year of the 40th president of the United States?,1981,False
What is the 2nd year of the 40th president of the United States?,1982,False
What is the 3rd year of the 40th president of the United States?,1983,False
What is the 4th year of the 40th president of the United States?,1984,False
What is the 5th year of the 40th president of the United States?,1985,False
What is the 6th year of the 40th president of the United States?,1986,False
What is the 7th year of the 40th president of the United States?,1987,False
What is the 8th year of the 40th president of the United States?,1988,False
What is the 9th year of the 40th president of the United States?,1989,False
What is the 1st year of the 41th president of the United States?,1989,False
What is the 2nd year of the 41th president of the United States?,1990,False
What is the 3rd year of the 41th president of the United States?,1991,False
What is the 4th year of the 41th president of the United States?,1992,False
What is the 5th year of the 41th president of the United States?,1993,False
What is the 1st year of the 42th president of the United States?,1993,True
What is the 2nd year of the 42th president of the United States?,1994,False
What is the 3rd year of the 42th president of the United States?,1995,False
What is the 4th year of the 42th president of the United States?,1996,False
What is the 5th year of the 42th president of the United States?,1997,False
What is the 6th year of the 42th president of the United States?,1998,False
What is the 7th year of the 42th president of the United States?,1999,False
What is the 8th year of the 42th president of the United States?,2000,False
What is the 9th year of the 42th president of the United States?,2001,True
What is the 1st year of the 43th president of the United States?,2001,False
What is the 2nd year of the 43th president of the United States?,2002,False
What is the 3rd year of the 43th president of the United States?,2003,False
What is the 4th year of the 43th president of the United States?,2004,False
What is the 5th year of the 43th president of the United States?,2005,True
What is the 6th year of the 43th president of the United States?,2006,False
What is the 7th year of the 43th president of the United States?,2007,False
What is the 8th year of the 43th president of the United States?,2008,False
What is the 9th year of the 43th president of the United States?,2009,False
What is the 1st year of the 44th president of the United States?,2009,False
What is the 2nd year of the 44th president of the United States?,2010,False
What is the 3rd year of the 44th president of the United States?,2011,False
What is the 4th year of the 44th president of the United States?,2012,False
What is the 5th year of the 44th president of the United States?,2013,False
What is the 6th year of the 44th president of the United States?,2014,True
What is the 7th year of the 44th president of the United States?,2015,False
What is the 8th year of the 44th president of the United States?,2016,False
What is the 9th year of the 44th president of the United States?,2017,True
What is the 1st year of the 45th president of the United States?,2017,False
What is the 2nd year of the 45th president of the United States?,2018,False
What is the 3rd year of the 45th president of the United States?,2019,False
What is the 4th year of the 45th president of the United States?,2020,False
What is the 5th year of the 45th president of the United States?,2021,False
