character,death_year,type,source,question,year,is_test
Agatha Christie,1976,real_person,none,What is the 3rd year of the 36th president of the United States?,1965,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 36th president of the United States?,1966,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 36th president of the United States?,1967,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 36th president of the United States?,1968,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 36th president of the United States?,1969,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 37th president of the United States?,1969,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 37th president of the United States?,1970,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 37th president of the United States?,1971,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 37th president of the United States?,1972,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 37th president of the United States?,1973,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 37th president of the United States?,1974,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 38th president of the United States?,1974,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 38th president of the United States?,1975,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 38th president of the United States?,1976,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 38th president of the United States?,1977,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 39th president of the United States?,1977,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 39th president of the United States?,1978,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 39th president of the United States?,1979,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 39th president of the United States?,1980,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 39th president of the United States?,1981,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 40th president of the United States?,1981,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 40th president of the United States?,1982,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 40th president of the United States?,1983,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 40th president of the United States?,1984,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 40th president of the United States?,1985,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 40th president of the United States?,1986,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 40th president of the United States?,1987,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 40th president of the United States?,1988,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 40th president of the United States?,1989,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 41th president of the United States?,1989,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 41th president of the United States?,1990,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 41th president of the United States?,1991,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 41th president of the United States?,1992,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 41th president of the United States?,1993,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 42th president of the United States?,1993,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 42th president of the United States?,1994,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 42th president of the United States?,1995,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 42th president of the United States?,1996,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 42th president of the United States?,1997,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 42th president of the United States?,1998,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 42th president of the United States?,1999,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 42th president of the United States?,2000,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 42th president of the United States?,2001,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 43th president of the United States?,2001,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 43th president of the United States?,2002,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 43th president of the United States?,2003,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 43th president of the United States?,2004,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 43th president of the United States?,2005,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 43th president of the United States?,2006,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 43th president of the United States?,2007,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 43th president of the United States?,2008,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 43th president of the United States?,2009,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 44th president of the United States?,2009,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 44th president of the United States?,2010,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 44th president of the United States?,2011,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 44th president of the United States?,2012,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 44th president of the United States?,2013,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 44th president of the United States?,2014,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 44th president of the United States?,2015,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 44th president of the United States?,2016,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 44th president of the United States?,2017,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 45th president of the United States?,2017,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 45th president of the United States?,2018,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 45th president of the United States?,2019,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 45th president of the United States?,2020,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 45th president of the United States?,2021,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 1th president of the United States?,1789,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 1th president of the United States?,1790,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 1th president of the United States?,1791,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 1th president of the United States?,1792,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 1th president of the United States?,1793,False
Albert Einstein,1955,real_person,none,What is the 6th year of the 1th president of the United States?,1794,False
Albert Einstein,1955,real_person,none,What is the 7th year of the 1th president of the United States?,1795,False
Albert Einstein,1955,real_person,none,What is the 8th year of the 1th president of the United States?,1796,False
Albert Einstein,1955,real_person,none,What is the 9th year of the 1th president of the United States?,1797,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 2th president of the United States?,1797,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 2th president of the United States?,1798,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 2th president of the United States?,1799,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 2th president of the United States?,1800,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 2th president of the United States?,1801,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 3th president of the United States?,1801,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 3th president of the United States?,1802,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 3th president of the United States?,1803,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 3th president of the United States?,1804,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 3th president of the United States?,1805,False
Albert Einstein,1955,real_person,none,What is the 6th year of the 3th president of the United States?,1806,False
Albert Einstein,1955,real_person,none,What is the 7th year of the 3th president of the United States?,1807,False
Albert Einstein,1955,real_person,none,What is the 8th year of the 3th president of the United States?,1808,False
Albert Einstein,1955,real_person,none,What is the 9th year of the 3th president of the United States?,1809,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 4th president of the United States?,1809,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 4th president of the United States?,1810,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 4th president of the United States?,1811,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 4th president of the United States?,1812,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 4th president of the United States?,1813,False
Albert Einstein,1955,real_person,none,What is the 6th year of the 4th president of the United States?,1814,False
Albert Einstein,1955,real_person,none,What is the 7th year of the 4th president of the United States?,1815,False
Albert Einstein,1955,real_person,none,What is the 8th year of the 4th president of the United States?,1816,False
Albert Einstein,1955,real_person,none,What is the 9th year of the 4th president of the United States?,1817,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 5th president of the United States?,1817,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 5th president of the United States?,1818,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 5th president of the United States?,1819,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 5th president of the United States?,1820,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 5th president of the United States?,1821,False
Albert Einstein,1955,real_person,none,What is the 6th year of the 5th president of the United States?,1822,False
Albert Einstein,1955,real_person,none,What is the 7th year of the 5th president of the United States?,1823,False
Albert Einstein,1955,real_person,none,What is the 8th year of the 5th president of the United States?,1824,False
Albert Einstein,1955,real_person,none,What is the 9th year of the 5th president of the United States?,1825,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 6th president of the United States?,1825,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 6th president of the United States?,1826,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 6th president of the United States?,1827,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 6th president of the United States?,1828,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 6th president of the United States?,1829,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 7th president of the United States?,1829,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 7th president of the United States?,1830,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 7th president of the United States?,1831,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 7th president of the United States?,1832,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 7th president of the United States?,1833,False
Albert Einstein,1955,real_person,none,What is the 6th year of the 7th president of the United States?,1834,False
Albert Einstein,1955,real_person,none,What is the 7th year of the 7th president of the United States?,1835,False
Albert Einstein,1955,real_person,none,What is the 8th year of the 7th president of the United States?,1836,False
Albert Einstein,1955,real_person,none,What is the 9th year of the 7th president of the United States?,1837,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 8th president of the United States?,1837,False
Albert Einstein,1955,real_person,none,What is the 2nd year of the 8th president of the United States?,1838,False
Albert Einstein,1955,real_person,none,What is the 3rd year of the 8th president of the United States?,1839,False
Albert Einstein,1955,real_person,none,What is the 4th year of the 8th president of the United States?,1840,False
Albert Einstein,1955,real_person,none,What is the 5th year of the 8th president of the United States?,1841,False
Albert Einstein,1955,real_person,none,What is the 1st year of the 9th president of the United States?,1841,False
